Date,Open,High,Low,Close,Adj Close,Volume
2021-05-06,87.339996,88.150002,86.800003,88.150002,88.150002,28500
2021-05-07,87.290001,89.489998,87.290001,89.190002,89.190002,22000
2021-05-10,89.440002,89.910004,88.750000,88.750000,88.750000,34600
2021-05-11,87.080002,88.550003,87.080002,87.889999,87.889999,42500
2021-05-12,88.129997,88.410004,87.379997,87.580002,87.580002,16200
2021-05-13,86.510002,87.980003,86.510002,87.650002,87.650002,10600
2021-05-14,89.180000,90.000000,89.180000,90.000000,90.000000,26500
2021-05-17,90.169998,90.709999,89.489998,90.519997,90.519997,40500
2021-05-18,89.290001,91.419998,89.290001,91.199997,91.199997,19300
2021-05-19,88.370003,89.230003,87.919998,88.599998,88.599998,18800
2021-05-20,90.709999,91.830002,90.709999,91.790001,91.790001,41600
2021-05-21,92.000000,92.510002,91.879997,92.120003,92.120003,15300
2021-05-24,92.879997,93.300003,91.599998,93.300003,93.300003,20500
2021-05-25,93.230003,94.279999,93.230003,93.870003,93.870003,23700
2021-05-26,94.029999,94.839996,93.839996,94.730003,94.730003,26300
2021-05-27,94.809998,95.599998,94.730003,95.029999,95.029999,28400
2021-05-28,92.980003,93.839996,92.760002,93.400002,93.400002,14600
2021-06-01,94.889999,95.730003,94.889999,95.510002,95.510002,22400
2021-06-02,95.900002,96.169998,95.510002,96.000000,96.000000,17600
2021-06-03,96.750000,97.230003,96.500000,96.870003,96.870003,20000
2021-06-04,96.599998,96.940002,96.199997,96.769997,96.769997,18900
2021-06-07,96.260002,98.000000,96.260002,97.839996,97.839996,25800
2021-06-08,96.139999,96.650002,95.800003,96.449997,96.449997,16700
2021-06-09,95.889999,95.889999,94.739998,95.440002,95.440002,13300
2021-06-10,95.529999,96.349998,94.860001,95.330002,95.330002,14500
2021-06-11,95.610001,96.870003,95.610001,96.870003,96.870003,15600
2021-06-14,95.570000,96.150002,95.379997,95.870003,95.870003,14200
2021-06-15,95.610001,96.150002,95.389999,95.930000,95.930000,9100
2021-06-16,94.800003,95.739998,94.220001,94.739998,94.739998,18300
2021-06-17,96.110001,96.110001,94.099998,94.610001,94.610001,23200
2021-06-18,91.940002,92.629997,90.669998,91.699997,91.699997,29600
2021-06-21,92.830002,94.790001,92.830002,94.599998,94.599998,17200
2021-06-22,93.760002,95.010002,93.760002,95.010002,95.010002,9200
2021-06-23,94.309998,94.529999,93.449997,93.519997,93.519997,8400
2021-06-24,94.519997,94.519997,93.879997,94.010002,94.010002,8100
2021-06-25,92.790001,93.010002,92.410004,92.879997,92.879997,8300
2021-06-28,91.989998,91.989998,90.260002,90.959999,90.959999,22400
2021-06-29,90.820000,91.389999,90.570000,90.599998,90.599998,427600
2021-06-30,89.279999,89.900002,89.010002,89.900002,89.900002,23100
2021-07-01,89.900002,90.139999,89.580002,90.050003,90.050003,21800
2021-07-02,90.940002,90.940002,90.209999,90.529999,90.529999,11800
2021-07-06,87.230003,87.900002,86.010002,86.430000,86.430000,24600
2021-07-07,84.650002,85.699997,84.650002,85.500000,85.500000,13800
2021-07-08,83.320000,84.199997,82.839996,83.879997,83.879997,25700
2021-07-09,85.739998,86.599998,85.489998,86.269997,86.269997,24200
2021-07-12,86.459999,87.800003,85.980003,86.959999,86.959999,14900
2021-07-13,86.760002,86.760002,85.639999,85.839996,85.839996,11400
2021-07-14,86.760002,87.300003,86.680000,86.750000,86.750000,8600
2021-07-15,86.739998,86.739998,85.940002,86.480003,86.480003,13300
2021-07-16,86.239998,86.239998,84.250000,84.430000,84.430000,21800
2021-07-19,82.010002,82.540001,81.230003,82.150002,82.150002,21200
2021-07-20,81.250000,83.199997,81.250000,83.199997,83.199997,14300
2021-07-21,83.849998,84.180000,83.199997,84.000000,84.000000,14600
2021-07-22,85.720001,85.720001,83.849998,83.879997,83.879997,56600
2021-07-23,88.209999,89.120003,88.209999,88.489998,88.489998,35200
2021-07-26,88.010002,89.379997,88.010002,89.169998,89.169998,13900
2021-07-27,88.010002,88.010002,87.269997,87.800003,87.800003,12100
2021-07-28,87.300003,87.769997,87.080002,87.470001,87.470001,10100
2021-07-29,89.919998,90.570000,89.660004,90.250000,90.250000,18800
2021-07-30,88.930000,89.750000,88.930000,89.389999,89.389999,33100
2021-08-02,91.150002,91.809998,90.379997,90.470001,90.470001,33500
2021-08-03,89.660004,90.430000,89.339996,89.860001,89.860001,21300
2021-08-04,90.570000,90.570000,89.709999,89.709999,89.709999,10900
2021-08-05,88.879997,89.440002,88.870003,89.220001,89.220001,10500
2021-08-06,90.230003,90.330002,89.220001,89.260002,89.260002,8000
2021-08-09,88.110001,88.110001,87.470001,87.750000,87.750000,7700
2021-08-10,87.000000,87.379997,86.870003,87.300003,87.300003,9400
2021-08-11,87.650002,88.040001,87.629997,87.949997,87.949997,6400
2021-08-12,88.589996,89.000000,88.589996,88.760002,88.760002,12400
2021-08-13,88.550003,89.400002,88.550003,89.129997,89.129997,7300
2021-08-16,87.440002,87.949997,87.180000,87.949997,87.949997,14900
2021-08-17,86.349998,86.349998,84.930000,85.180000,85.180000,20700
2021-08-18,83.589996,84.370003,83.589996,83.750000,83.750000,19200
2021-08-19,81.360001,82.239998,81.139999,81.580002,81.580002,15500
2021-08-20,81.000000,82.080002,80.940002,81.809998,81.809998,17600
2021-08-23,82.690002,82.690002,81.919998,82.129997,82.129997,17700
